id_transaccion,id_cliente,monto,fecha,id_tienda,nombre,edad,ciudad,pais,preferencias,puntos_lealtad,gastos_mensuales,ingresos,lat,lon,segmento_cliente,PC1,PC2,PC3
14,94,3323.25,2023-10-24,3,Sofía Ruiz,53,Monterrey,Mexico,"['Ropa', 'Deportes', 'Alimentos']",0.5623746490172483,0.01899522644495499,0.26873132063003735,20.68847,-91.780939,Regular Adulto,0.22461804521682205,-0.46517154937668215,0.1788265797146421
15,477,4339.09,2024-01-25,9,Isabel Jiménez,30,Querétaro,México,['Ropa'],0.12354592860008023,0.20840623943370443,0.6989669830137343,23.446078,-91.337947,Regular Adulto,0.5315105299311722,-0.12694625535323967,-0.37469331022710073
16,929,3196.64,2024-01-09,6,Roberto Díaz,52,Veracruz,MEX,['Hogar'],0.7745687926193341,0.05064493775608202,0.9678886113586596,19.573062,-110.632062,Regular Adulto,0.19383385229150096,-0.0947379585278455,0.37495135356199283
17,759,1808.59,2024-11-17,9,Daniela Flores,21,Hermosillo,México,"['Alimentos', 'Ropa', 'Belleza']",0.30324909747292417,0.7096693737810593,0.5008223296522256,31.410137,-89.769099,Premium Joven,-0.18916039025935533,-0.11219924680243554,-0.3646187147869959
18,1438,4686.44,2024-10-25,3,Miguel Flores,30,León,mx,['Hogar'],0.4420377055756117,0.5802241372438859,0.31428978563071247,22.328696,-93.414504,Premium Adulto,0.6382891774071879,-0.46029517216150145,-0.12796919690145903
19,1248,3193.14,2024-06-30,8,María Moreno,43,Hermosillo,Mexico,"['Alimentos', 'Electrónica']",0.2059767348576013,0.7727116698186101,0.3435365423532156,26.76007,-99.390816,Premium Adulto,0.2064887272819088,-0.1675183674774825,-0.2270096340192821
20,335,2338.19,2023-10-04,18,Fernando González,36,Acapulco,méxico,"['Hogar', 'Deportes', 'Ropa']",0.11151223425591657,0.019955594238821744,0.10404289709507626,29.229701,-106.347902,Regular Adulto,-0.06345879797419285,0.29091973210988586,-0.5732752073935464
21,450,3438.84,2023-02-27,8,Gabriela Martínez,70,Guadalajara,Mexico,"['Belleza', 'Alimentos', 'Electrónica']",0.28800641797031684,0.009967512056022743,0.047450190461296546,20.833884,-108.31258,Regular Adulto,0.251083071268412,-0.20859473717454063,0.02286040241199694
22,66,4034.98,2024-02-15,9,Sergio Flores,44,Querétaro,mx,['Hogar'],0.3267148014440433,0.8295212174429533,0.167742428323771,22.89017,-88.065445,Premium Adulto,0.44679532277753364,-0.19618027369611457,-0.1089609204610561
23,136,1094.37,2024-08-03,11,Patricia Cruz,67,Hermosillo,MEX,"['Ropa', 'Belleza', 'Electrónica']",0.8012434817488969,0.5500284767692558,0.3277065463049387,30.458203,-92.575373,Premium Adulto,-0.42658181030168435,0.05883475847495112,0.4634660064308911
24,436,3294.42,2024-02-10,15,Gabriela Ruiz,52,Hermosillo,Mexico,['Deportes'],0.2366626554352186,0.060427318671118405,0.19313628850275638,17.389786,-97.028892,Regular Adulto,0.21815379454396244,0.08600052143791581,-0.20015348543575684
25,293,1361.16,2023-09-10,18,Ricardo Martínez,26,Tijuana,méxico,['Alimentos'],0.15543521861211393,0.8192554385486748,0.4875703687816286,16.133894,-88.304819,Premium Joven,-0.3017515906163863,0.22515680375630853,-0.458733382881584
26,1104,1350.57,2024-08-21,14,Pedro López,40,Acapulco,México,"['Hogar', 'Deportes']",0.8327316486161251,0.06854609058312454,0.3584617420728156,23.019348,-96.045913,Regular Adulto,-0.3460329651396536,0.14400824243988075,0.14899602204177265
27,1196,2027.03,2023-08-13,5,Eduardo Hernández,21,Hermosillo,MEXICO,"['Alimentos', 'Ropa', 'Electrónica']",0.721620537505014,0.8734924346930616,0.5477371210756379,16.687607,-92.31346,Premium Joven,-0.10662230170878029,-0.3396955439708041,0.03151159282041793
28,1044,2492.9,2023-02-18,4,Sofía Sánchez,37,Oaxaca,México,"['Belleza', 'Ropa']",0.09085439229843562,0.8525944715213023,0.41098426749492145,18.038657,-108.886841,Premium Adulto,0.029527172832863435,-0.4005849442827539,-0.35220860583704633
29,314,3155.86,2024-11-27,14,Gabriela Castillo,33,Ciudad de México,Mex,['Electrónica'],0.6197352587244284,0.4946266971961632,0.5574190427642135,16.47043,-93.303952,Regular Adulto,0.19587887155193595,0.11821493135806338,-0.0022388328352950237
30,1222,364.46,2024-01-26,20,José Moreno,27,Querétaro,méxico,"['Juguetes', 'Electrónica', 'Ropa']",0.8038507821901324,0.758371720189708,0.6241100777216707,29.931149,-101.629708,Premium Joven,-0.6147105660337174,0.555398675371156,-0.013696613285973935
31,959,2669.12,2024-07-20,1,Valentina Sánchez,60,Tijuana,méxico,"['Belleza', 'Deportes', 'Alimentos']",0.8804653028479743,0.4366986489283607,0.250048578548274,22.94435,-100.869907,Regular Adulto,0.04010890100425313,-0.4743522236273713,0.5031751111039218
32,1394,3617.57,2024-11-29,18,Andrés Pérez,24,Chihuahua,Mexico,"['Electrónica', 'Alimentos', 'Ropa']",0.49478539911752906,0.03945993132148924,0.2070149961143839,26.886709,-110.363112,Regular Joven,0.30577411007963384,0.34597582353142986,-0.3891946565747633
33,547,3854.56,2023-12-15,4,Gabriela Mendoza,62,Culiacán,méxico,"['Ropa', 'Hogar']",0.561171279582832,0.16714127948759813,0.007072101783777582,14.718051,-104.486857,Regular Adulto,0.3828750531176328,-0.4444322214777967,0.2068322616548801
34,602,2202.09,2024-04-09,1,Sofía Díaz,35,Tijuana,méxico,"['Alimentos', 'Electrónica']",0.9939831528279182,0.8198146888704043,0.5082412588995566,25.765248,-101.797737,Premium Adulto,-0.07587344367160864,-0.41178672625184143,0.3721314963885354
35,1479,4385.47,2023-09-27,17,Verónica Castillo,44,Hermosillo,méxico,"['Alimentos', 'Juguetes', 'Belleza']",0.7133975130365022,0.32566881838763634,0.7044912487164245,32.679939,-94.478835,Regular Adulto,0.5143840039565175,0.4326999143893637,0.156118222354663
36,366,2563.02,2023-04-19,10,Sofía Rodríguez,32,León,MEXICO,"['Electrónica', 'Belleza', 'Deportes']",0.3726434015242679,0.6585436093115822,0.9784010759797876,17.046398,-89.749143,Premium Adulto,0.040289557542153354,-0.037336911797085315,-0.0844774753132087
37,1309,2562.93,2023-07-23,5,Sergio Torres,34,Tijuana,MEXICO,['Deportes'],0.5210589651022864,0.06192508102701502,0.6054429609049192,20.63148,-90.08431,Regular Adulto,0.018600187319115613,-0.33321286562608066,-0.01607019655821762
38,766,3824.43,2024-07-06,17,Luis Martínez,36,Tijuana,México,"['Ropa', 'Hogar', 'Alimentos']",0.4069394304051343,0.8001985017233909,0.17921324253229187,22.234728,-106.417743,Premium Adulto,0.3857973367683889,0.267799204300443,-0.2549420628172506
39,2,3014.78,2024-05-15,1,Gabriela Rivera,58,Chihuahua,México,"['Ropa', 'Belleza', 'Electrónica']",0.2300441235459286,0.5894112701153342,0.017354193907936216,16.350492,-90.433469,Premium Adulto,0.15890328486670746,-0.6687137824597605,-0.0083760286521114
40,230,4649.04,2023-11-11,8,José Reyes,37,Culiacán,MEX,"['Deportes', 'Ropa']",0.5649819494584838,0.12057308373198668,0.8768078732104564,27.866164,-107.850551,Regular Adulto,0.6067257739140648,0.000502756327322329,0.020316136658217188
41,119,1242.31,2024-08-03,3,Jorge Chávez,67,Tijuana,México,"['Deportes', 'Electrónica', 'Belleza']",0.07440834336141196,0.570684740951394,0.27752019832601327,15.109648,-104.665148,Premium Adulto,-0.34459688557396556,-0.4911876530067415,-0.05440812806610351
42,176,3672.94,2023-03-12,18,María Ortiz,58,Hermosillo,méxico,"['Hogar', 'Belleza']",0.07882069795427196,0.9556996607214715,0.8050744183294776,30.411253,-87.58682,Premium Adulto,0.33254392177678604,0.41986576645234974,-0.1141905329860694
43,258,685.54,2024-05-01,18,Valentina Hernández,54,Querétaro,México,"['Belleza', 'Deportes']",0.6423987164059366,0.3086881787338316,0.11434836034211583,14.651824,-111.181177,Regular Adulto,-0.5248542583040671,0.2932750315142981,0.060155170712090644
44,339,1362.03,2024-09-13,14,Carlos Morales,19,Tijuana,mx,"['Juguetes', 'Hogar']",0.5740072202166066,0.2325092854837901,0.06478061259853098,26.255449,-115.717612,Regular Joven,-0.32852167252320724,0.12664387416971712,-0.3938570979788468
45,434,4648.12,2024-12-07,7,Ana García,39,Tijuana,México,"['Electrónica', 'Ropa']",0.28259125551544323,0.9203280420967644,0.041499101280163264,15.51289,-100.099542,Premium Adulto,0.6389729544118419,-0.33308995595739554,-0.21969570557029094
46,1461,1593.0,2024-11-18,12,Andrés Vargas,64,Veracruz,MEX,['Deportes'],0.17007621339751303,0.24735963138332814,0.011263946383706036,24.087608,-106.360949,Regular Adulto,-0.2731923263494846,-0.023739752749490695,-0.16945684685433937
47,898,4503.09,2024-04-07,4,Carlos Díaz,28,Querétaro,MEX,"['Juguetes', 'Alimentos']",0.32330525471319693,0.6028512766977747,0.04290110155447348,28.253123,-115.262424,Premium Joven,0.582304728327095,-0.3647596543612231,-0.37791926351748734
48,508,1162.25,2023-12-13,1,Miguel López,29,León,Mex,['Juguetes'],0.9043321299638989,0.901809785466434,0.36159040090557093,29.614246,-112.091114,Premium Joven,-0.37095382234332563,-0.40018492978933634,0.16937349631152687
49,1205,2791.91,2024-08-25,8,Ana Reyes,34,Querétaro,Mex,['Electrónica'],0.32711592458884875,0.7101232022030606,0.35642938922708756,24.107294,-90.0542,Premium Adulto,0.0944599533838898,-0.21484508742059183,-0.20107240336151933
50,15,401.42,2024-10-08,2,Fernando Pérez,35,Monterrey,méxico,"['Juguetes', 'Ropa', 'Deportes']",0.07300441235459286,0.6970046038514991,0.4468673547214276,31.147146,-102.20332,Premium Adulto,-0.5861702174513423,-0.4514433821199558,-0.3918819022660058
51,469,383.63,2023-02-02,11,Eduardo Gutiérrez,47,Veracruz,MEXICO,"['Hogar', 'Juguetes', 'Alimentos']",0.47954271961492173,0.2776735700869217,0.5128585914851921,30.579293,-94.041852,Regular Adulto,-0.6206856710893337,0.03320926931788026,0.00014903379382169568
52,146,2595.07,2023-10-13,16,Luis Jiménez,57,Querétaro,MEXICO,"['Alimentos', 'Ropa']",0.08844765342960288,0.4162545141786027,0.6848514925400043,31.515828,-89.212225,Regular Adulto,0.01122954743723048,0.2907232821481117,-0.16825293604851355
53,439,2719.21,2024-08-07,19,Valentina Ramírez,46,Monterrey,Mex,"['Alimentos', 'Juguetes', 'Ropa']",0.5922583233052547,0.46043400396232076,0.4530894153787063,22.977131,-109.481504,Regular Adulto,0.05458052111525591,0.457211611152718,-0.0058734611534613235
54,969,1252.84,2024-04-29,14,Elena López,61,Puebla,mx,['Ropa'],0.46309667067789806,0.5288116766324645,0.18924065619168484,31.754803,-115.602184,Premium Adulto,-0.37520713086725077,0.227616469433909,0.011084209682325707
55,390,516.91,2024-11-05,14,Claudia Flores,53,Ciudad de México,México,"['Belleza', 'Juguetes']",0.15403128760529483,0.48928360676602894,0.2991156500651119,25.057944,-104.548626,Regular Adulto,-0.5700369406114697,0.11946903930241293,-0.25683090812162335
56,726,2146.71,2024-04-23,2,Luis Ramos,27,Chihuahua,Mexico,"['Alimentos', 'Hogar']",0.7404733253108704,0.6274531483221848,0.934591171618429,19.441471,-99.637513,Premium Joven,-0.07854975660998809,-0.36732202581612045,0.16093223815111135
57,1380,3284.6,2024-10-23,4,Isabel Ramos,60,Hermosillo,Mex,"['Ropa', 'Deportes', 'Hogar']",0.977135980746089,0.2847188385077916,0.9869281970994968,19.176516,-97.040266,Regular Adulto,0.21803230350150415,-0.2047584460902756,0.6976079608678782
58,125,2042.98,2023-12-14,4,Fernando Castillo,35,Mérida,Mexico,['Alimentos'],0.5014039310068191,0.4698114105064494,0.4250458040621148,16.192771,-97.557779,Regular Adulto,-0.11347479932257198,-0.41654566386158126,-0.038152040343463645
59,510,998.37,2024-07-03,15,Luis Castillo,59,Tijuana,mx,"['Alimentos', 'Hogar']",0.011231448054552748,0.08469878263418473,0.9008092151135576,16.082679,-87.71731,Regular Adulto,-0.43033296202080573,0.15648437465998322,-0.1547022711963697
60,288,2138.31,2023-10-13,15,Claudia Martínez,65,Mérida,Mexico,"['Juguetes', 'Alimentos']",0.9358202968311271,0.223374863562206,0.19607824545101127,31.898432,-96.309139,Regular Adulto,-0.14347543977240018,0.2678814126777943,0.464209710895628
61,512,4378.71,2023-03-19,15,Valentina Mendoza,29,Oaxaca,Mexico,"['Deportes', 'Hogar']",0.14119534697152025,0.18427233819345434,0.23891123687594595,29.412835,-113.574374,Regular Joven,0.5299704872675717,0.20174921929118594,-0.5822265811896146
62,1128,534.65,2024-10-29,18,José Sánchez,43,Cancún,México,"['Juguetes', 'Alimentos']",0.721620537505014,0.41320113598525127,0.3462470584103122,23.74822,-86.848365,Regular Adulto,-0.5755047815339993,0.31053709242920413,0.10551115426922286
63,31,4846.53,2023-08-31,6,Ricardo Torres,41,Ciudad de México,méxico,"['Ropa', 'Deportes', 'Juguetes']",0.38808664259927794,0.105479753209904,0.2550724351227645,23.079128,-93.779897,Regular Adulto,0.6644240118148739,-0.3175134359645783,-0.11184899926254155
64,833,2453.92,2023-08-07,13,Gabriela Torres,21,Hermosillo,Mex,"['Hogar', 'Ropa']",0.12113918973124749,0.03794159883881636,0.6506489893725494,17.748302,-108.21978,Regular Joven,-0.00026284388925934543,0.06386142789957316,-0.5787105507987556
65,121,864.95,2023-01-03,13,Pedro Chávez,60,Mérida,MEX,['Alimentos'],0.2940232651423987,0.9144552709021415,0.8656271280242066,16.868433,-104.586818,Premium Adulto,-0.44972824391425115,0.16262119103071138,0.07854743161456346
66,544,4636.26,2024-04-10,10,Carlos Sánchez,35,Querétaro,MEXICO,"['Alimentos', 'Deportes', 'Juguetes']",0.3080625752105896,0.8721540908196811,0.9620717391974998,29.295727,-116.068645,Premium Adulto,0.6253963285128106,0.14170070308708482,-0.18708466523309086
67,867,3498.13,2024-07-23,16,Jorge Ortiz,24,León,MEXICO,"['Alimentos', 'Ropa', 'Hogar']",0.22823906939430405,0.031174027129425953,0.9012931976811039,29.555745,-98.8311,Regular Joven,0.2774624330204436,0.3285043465940858,-0.42961109427658783
68,318,989.99,2023-08-11,2,Ricardo Pérez,18,Tijuana,méxico,"['Ropa', 'Deportes']",0.3590052146008824,0.7727193836161512,0.05884234414766383,15.044338,-114.684176,Premium Joven,-0.3937087458622986,-0.571164590442817,-0.4249589676041261
69,1187,3691.9,2023-03-04,11,Elena Cruz,45,Guadalajara,México,"['Belleza', 'Hogar']",0.06979542719614922,0.7399537429274118,0.7909689440512679,17.824341,-105.260233,Premium Adulto,0.36287184876335155,0.02393062694240977,-0.2564170621745421
70,118,298.2,2024-05-03,17,Gabriela Jiménez,47,Culiacán,México,"['Deportes', 'Hogar']",0.5742077817890092,0.19839373022535858,0.08771703259390216,20.271039,-102.77599,Regular Adulto,-0.6419491101858761,0.22454160319565486,-0.05992318272360808
71,1088,829.29,2024-06-04,3,Isabel Vargas,65,Cancún,México,['Electrónica'],0.22743682310469313,0.3809998881499357,0.20395685129809227,20.235441,-110.855125,Regular Adulto,-0.4749483075090035,-0.4425156555732265,-0.01338288113303232
72,381,389.18,2023-03-11,8,Valentina Rivera,66,Oaxaca,MEX,"['Alimentos', 'Ropa', 'Belleza']",0.002206177296430004,0.47136831197682777,0.005901275302078443,25.732726,-91.413404,Regular Adulto,-0.6107793308888052,-0.28581279658879943,-0.19741906531453401
73,827,643.44,2024-08-06,8,Mónica Morales,47,Oaxaca,Mex,"['Deportes', 'Electrónica']",0.681909346169274,0.31115787957990665,0.27286012997282405,26.134611,-113.337876,Regular Adulto,-0.5396588246863675,-0.10228070323355298,0.09005056692049296
74,1186,2992.87,2024-09-26,3,Daniela Chávez,39,Chihuahua,MEXICO,"['Ropa', 'Juguetes']",0.9424388287204172,0.3510922094501734,0.7643517725260565,16.394474,-117.044282,Regular Adulto,0.1521018332115367,-0.27497812583587816,0.35232886568370025
75,859,3304.0,2024-08-01,17,Eduardo Torres,25,Tijuana,México,['Alimentos'],0.5998796630565584,0.333004639849221,0.745712701056762,24.89629,-113.051997,Regular Joven,0.22942896810991742,0.4159627022542971,-0.18396156114169238
76,648,4676.8,2023-07-29,11,Gabriela Chávez,27,Culiacán,MEX,"['Belleza', 'Ropa']",0.20858403529883673,0.6392951131806944,0.20223433276712893,16.624943,-89.769296,Premium Joven,0.641671509337566,-0.15628670597383754,-0.39845228220664486
77,489,1364.79,2023-05-15,10,Jorge Martínez,26,León,Mexico,['Belleza'],0.20577617328519854,0.16880488849062839,0.3442558387408547,31.325314,-103.475869,Regular Joven,-0.3296511687508056,-0.06450813782093434,-0.497875125495956
78,937,1615.08,2023-03-16,1,José Sánchez,70,Acapulco,Mexico,"['Belleza', 'Ropa']",0.20336943441636582,0.5880639268114889,0.3230078822116774,27.827429,-100.802392,Premium Adulto,-0.25620505601225635,-0.4946093824592459,0.09314134084165748
79,939,3124.74,2024-07-30,4,Ricardo González,35,León,mx,['Juguetes'],0.7292418772563177,0.029588841734730222,0.05027128531693846,19.55557,-99.125905,Regular Adulto,0.1736482782037264,-0.4421392770601715,0.04262270222218012
80,151,2711.29,2024-06-02,9,Verónica Chávez,58,Oaxaca,Mex,"['Hogar', 'Ropa']",0.21580425190533492,0.5509219916510998,0.45591051023434825,27.302957,-112.29982,Premium Adulto,0.058101785158893304,-0.035437669673271,-0.09989448489972752
81,272,4669.63,2023-03-12,8,Roberto Jiménez,28,Mérida,mx,"['Deportes', 'Electrónica']",0.847573204973927,0.9263756593689857,0.23742683669982112,15.775636,-107.968473,Premium Joven,0.6427037973876344,-0.16426940504387044,0.09975270231519773
82,757,1460.69,2024-03-24,18,María Torres,27,Guadalajara,Mex,"['Hogar', 'Juguetes', 'Alimentos']",0.7468912956277577,0.7154714351648889,0.8661677354837615,16.998642,-109.513367,Premium Joven,-0.2806526465730423,0.4445802898138278,0.0038817255884661117
83,1441,1547.46,2024-10-31,17,Mónica Ruiz,38,Chihuahua,Mex,"['Electrónica', 'Juguetes']",0.9137585238668271,0.8010791602759997,0.5270484689043203,32.407457,-108.7616,Premium Adulto,-0.2830733547288324,0.4573505283790129,0.18147866996134165
84,17,3355.92,2024-07-21,10,Daniela Rivera,25,Culiacán,México,"['Ropa', 'Belleza', 'Electrónica']",0.49057360609707173,0.9933442783549556,0.0225042545459839,17.866844,-100.00526,Premium Joven,0.26928633549211767,-0.1682987988004886,-0.24655286212646288
85,1359,562.75,2023-05-18,9,Roberto Rivera,46,León,mx,"['Juguetes', 'Alimentos', 'Belleza']",0.16305655836341756,0.8112626586631733,0.3182743617580052,28.059911,-97.680357,Premium Adulto,-0.5468532696121213,-0.13340149482104313,-0.24963432901194604
86,237,4454.08,2024-07-20,5,Sofía Sánchez,29,Puebla,MEXICO,"['Belleza', 'Juguetes']",0.739269955876454,0.3323759653496215,0.7554597947908571,23.597681,-87.307266,Regular Joven,0.5607076998965526,-0.26017192089749996,0.15447819615827496
87,558,1444.69,2023-08-04,11,Verónica Torres,29,Cancún,méxico,"['Juguetes', 'Hogar']",0.34757320497392696,0.9604140766520062,0.8139574482633453,26.703347,-89.215714,Premium Joven,-0.28419896791361626,0.035879500926096375,-0.17944121043575956
88,417,3453.11,2023-09-28,17,Carlos Chávez,58,Ciudad de México,Mexico,"['Deportes', 'Ropa', 'Hogar']",0.957280385078219,0.15527360197061815,0.19036340493488602,27.522037,-101.8681,Regular Adulto,0.237730586538065,0.35844117101913997,0.38168092414210064
89,1001,1293.05,2023-02-22,3,Luis Flores,46,Cancún,méxico,['Hogar'],0.40052146008824707,0.6318872962753929,0.30396989906212346,29.56794,-104.548767,Premium Adulto,-0.34293736963318805,-0.379163353403138,-0.0516500621733329
90,1300,2146.7,2023-10-11,2,Luis Morales,69,Querétaro,méxico,"['Deportes', 'Hogar']",0.5280786201363818,0.04633678182937853,0.6660008790213189,14.665167,-95.550675,Regular Adulto,-0.1048027268393027,-0.4539223747656547,0.40021863520789336
91,8,1701.1,2023-05-14,9,Mónica Vargas,49,Puebla,México,"['Hogar', 'Deportes', 'Juguetes']",0.34015242679502605,0.36101215308802603,0.3037283084261712,31.603346,-110.446358,Regular Adulto,-0.23997580325549306,-0.04984543482117065,-0.14846974137015445
92,331,3719.09,2024-07-18,14,Ricardo Ramos,61,Veracruz,mx,"['Belleza', 'Hogar']",0.6702767749699158,0.5598777105963152,0.6694714239945042,18.347814,-115.172928,Premium Adulto,0.3470230734839772,0.2705109135074031,0.29952301816058546
93,1149,97.87,2023-03-19,5,Andrés Rivera,56,Puebla,méxico,"['Electrónica', 'Deportes', 'Alimentos']",0.2707581227436823,0.6617949749751552,0.28245203945098957,29.527587,-107.569188,Premium Adulto,-0.686848886820478,-0.28061049984209574,-0.07630970776836132
94,1118,228.34,2024-01-14,19,Sergio Vargas,27,Ciudad de México,mx,"['Electrónica', 'Belleza', 'Hogar']",0.9552747693541918,0.32854992176923664,0.6665826196571443,22.018034,-112.882292,Regular Joven,-0.6536216270534533,0.5083139148549101,0.07305212328483734
95,1132,783.06,2023-05-11,2,Carlos Vargas,65,Oaxaca,México,"['Deportes', 'Electrónica', 'Alimentos']",0.9743281187324508,0.3457606897163509,0.4002344858145965,22.573519,-111.399754,Regular Adulto,-0.5016333333010035,-0.3552642627163761,0.6007917877899354
96,632,1855.03,2023-02-10,12,Ricardo Vargas,42,Veracruz,México,"['Juguetes', 'Alimentos', 'Ropa']",0.07160048134777376,0.09410704436847783,0.938981470438935,32.102888,-102.04078,Regular Adulto,-0.19468695185273288,0.1578481408188901,-0.3361479814883646
97,431,3426.23,2024-11-13,4,Claudia López,39,Acapulco,México,['Electrónica'],0.08965102286401926,0.2058992552328474,0.8490245494281219,19.101896,-98.507317,Regular Adulto,0.27930424134605514,-0.35086590080438934,-0.2563485433064848
98,725,3911.58,2024-02-21,20,Isabel Castillo,40,Veracruz,Mex,['Alimentos'],0.5443241075010028,0.5078378611182178,0.07723621915061861,15.628455,-94.098379,Premium Adulto,0.40276867616619283,0.32733752843241826,-0.10995202096191004
99,317,4632.53,2023-08-31,6,Roberto Ortiz,53,Querétaro,mx,"['Juguetes', 'Hogar', 'Belleza']",0.7507019655034095,0.23567708500733456,0.5101349875992822,16.958904,-105.623801,Regular Adulto,0.6071999355929567,-0.20959929783649228,0.32769217543223395
100,363,4413.01,2023-01-26,6,José Vargas,51,Hermosillo,mx,['Electrónica'],0.6726835138387485,0.21203300991094423,0.08105051995406438,27.735678,-105.011888,Regular Adulto,0.5288121286589962,-0.23943058264237116,0.14844458564949337
101,681,3922.81,2024-02-26,8,Verónica Morales,54,Veracruz,Mexico,['Alimentos'],0.5944645006016848,0.6202973154698924,0.4690390715761338,26.59523,-94.211187,Premium Adulto,0.4001927616209193,-0.10587065282074959,0.2302653226291702
102,547,838.03,2024-12-19,4,Gabriela Mendoza,62,Culiacán,méxico,"['Ropa', 'Hogar']",0.561171279582832,0.16714127948759813,0.007072101783777582,14.718051,-104.486857,Regular Adulto,-0.4780721067971253,-0.45964190689379847,0.18932032852991176
103,784,4367.23,2024-04-26,8,Isabel Rodríguez,65,Culiacán,MEXICO,['Juguetes'],0.6034897713598074,0.4665034769942417,0.6643292427635993,30.015353,-86.989732,Regular Adulto,0.5141598584004898,-0.058119374623285425,0.402414410503684
104,409,4092.1,2024-04-16,12,María Mendoza,54,Ciudad de México,Mex,['Hogar'],0.3876855194544725,0.49594189967692043,0.28433521775810033,25.099542,-98.503728,Regular Adulto,0.446760845882221,0.040062795550873664,-0.010905468400827067
105,626,4111.66,2023-08-22,8,Alejandro González,43,León,MEX,['Belleza'],0.9127557160048134,0.7689409084539364,0.2528897057949567,28.098153,-92.558901,Premium Adulto,0.45366681241176576,-0.11750216547325065,0.3308767844016913
106,49,3317.16,2024-02-13,11,Patricia Flores,24,Monterrey,mx,"['Electrónica', 'Deportes']",0.6079021259526675,0.07926698353232789,0.10961470633917002,28.715669,-94.194364,Regular Joven,0.219016308303705,-0.05924200653659517,-0.21542235195394566
107,571,4328.55,2023-10-13,12,Laura Rivera,46,Tijuana,mx,['Deportes'],0.052146008824709184,0.9999999999999999,0.4615010163767468,28.610012,-109.259523,Premium Adulto,0.534332595814228,0.10101446637271816,-0.33910121287488976
